Id,Name,Description,Source,Properties
artillery-volley,Artillery Volley,"Fire a volley of 3 artillery shells from Artillery Mage's location to the target location.

Each shell that hits deals <damage-sp>{damage} Magical Damage</>.

Cooldown: <time>{cooldown} seconds</>",artillery-mage,"{""cooldown"":[{""Time"":1,""Value"":8},{""Time"":3,""Value"":8},{""Time"":4,""Value"":6},{""Time"":5,""Value"":6},{""Time"":6,""Value"":5}],""mana"":[{""Time"":1,""Value"":100},{""Time"":6,""Value"":100}]}"
escape-shot,Escape Shot,"Fire a short range shot towards a target direction that deals <damage-sp>{damage} Magical Damage</> on-hit and dash in the opposite direction.

Cooldown: <time>{cooldown} seconds</>",artillery-mage,"{""cooldown"":[{""Time"":1,""Value"":12},{""Time"":2,""Value"":12},{""Time"":3,""Value"":11},{""Time"":4,""Value"":11},{""Time"":5,""Value"":10},{""Time"":6,""Value"":10}],""mana"":[{""Time"":1,""Value"":80},{""Time"":6,""Value"":80}],""slow"":[{""Time"":1,""Value"":20},{""Time"":6,""Value"":40}]}"
killing-field,Killing Field,"Activate to drop a targeting field. <red>Recast</> 3 times to target areas within the field.

After acquiring 3 targets, fire 3 devastating shots which land in the area one after another after a 1 second delay, each dealing <damage-sp>{damage} Magical Damage</> to all enemies hit.

Cooldown: <time>{cooldown} seconds</>",artillery-mage,"{""cooldown"":[{""Time"":1,""Value"":120},{""Time"":4,""Value"":60},{""Time"":6,""Value"":60}],""mana"":[{""Time"":1,""Value"":200},{""Time"":6,""Value"":200}]}"
artillery-mage-passive,Passive: Strike From Afar,Artillery Mage's abilities deal <damage-sp>+{damage}% bonus damage</> when they are shot past 75% of their maximum range. ,artillery-mage,"{""damage"":[{""Time"":1,""Value"":10},{""Time"":6,""Value"":10}]}"
targeted-strike,Targeted Strike,"<red>Hold</> to charge a devastating artillery shell that deals <damage-sp>{highdamage} Magical Damage</> to enemies in the area.

Charging up the ability expands the area size.

Cooldown: <time>{cooldown} seconds</>",artillery-mage,"{""cooldown"":[{""Time"":1,""Value"":10},{""Time"":6,""Value"":5}],""mana"":[{""Time"":1,""Value"":120},{""Time"":6,""Value"":120}]}"
face-me,Face Me!,"Leap to a target enemy to issue a challenge to them, knocking back, <speed>Slowing</>, and <yellow>Taunting</> all other enemies in the area.

The challenged enemy takes <penetration>{damageamp}% increased Damage</> from all sources for 5 seconds.

Cooldown: {cooldown} seconds",berserker-tank,"{""cooldown"":[{""Time"":1,""Value"":120},{""Time"":3,""Value"":60},{""Time"":6,""Value"":60}],""damageamp"":[{""Time"":1,""Value"":50},{""Time"":3,""Value"":100},{""Time"":6,""Value"":100}]}"
aggressive-parrying,Parry,"Grant yourself {damagereduction}% damage reduction for 1.g seconds. If you take damage during this time, generate 10 Fury and reduce Parry's cooldown by 50%<break>You will reflect 50% of all damage received while parrying<break><break>Cost: 20 Fury<break>Cooldown: {cooldown} seconds",berserker-tank,"{""cooldown"":[{""Time"":1,""Value"":10},{""Time"":3,""Value"":8},{""Time"":4,""Value"":8},{""Time"":6,""Value"":6}],""damagereduction"":[{""Time"":1,""Value"":100},{""Time"":6,""Value"":100}]}"
parry,Parry,"Grant yourself <penetration>{damagereduction}% Damage Reduction</> for 1 second.

If you take damage during this time, generate 10 Fury and reduce Parry's cooldown by 50%.

Cost: 20 Fury
Cooldown: <time>{cooldown} seconds</>",berserker-tank,"{""cooldown"":[{""Time"":1,""Value"":10},{""Time"":3,""Value"":8},{""Time"":4,""Value"":8},{""Time"":6,""Value"":6}],""damagereduction"":[{""Time"":1,""Value"":100},{""Time"":6,""Value"":100}]}"
berserker-tank-passive,Passive: Savage Strikes,"Casting an ability grants two stacks of Savage Strike that increase your <attackspeed>Attack Speed</>.

Attacking consumes a stack.",berserker-tank,
smash,Smash,"Smash the ground in the target direction, dealing <damage-wp>{damage} Physical Damage</> to all enemies in the area of the attack.

Cost: 40 Fury
Cooldown: <time>{cooldown} second</>",berserker-tank,"{""cooldown"":[{""Time"":1,""Value"":1},{""Time"":6,""Value"":1}]}"
weapon-throw,Weapon Throw,"Throw an axe a fixed distance. If an enemy is hit, they take <damage-wp>{damage} Physical Damage</> and the axe stops.

When the axe lands it creates a <speed>Slow</> field on the ground and <yellow>Taunts</> nearby enemies.

<red>Recast</> the ability to leap directly to the weapon and pick it up.

Cooldown: <time>{cooldown} seconds</>",berserker-tank,"{""cooldown"":[{""Time"":1,""Value"":8},{""Time"":3,""Value"":8},{""Time"":4,""Value"":6},{""Time"":5,""Value"":6},{""Time"":6,""Value"":5}]}"
weapon-throw-pickup,Collect,"Plants a seed in the ground which blooms after 1.5 seconds, healing allies for <healing>{healing}</> and planting a light seed on them.<break><break>The blossom will affect allies but not you.<break><break>Can be caught by allies<break><break>Costs 20 Energy<break>Cooldown {cooldown} sec.",berserker-tank,"{""cooldown"":[{""Time"":1,""Value"":5},{""Time"":6,""Value"":5}]}"
catch-default,Catch,Increase movement speed by <speed>20%</> for <time>{duration} seconds</>.,catch,"{""buff"":[{""Time"":1,""Value"":1.2},{""Time"":6,""Value"":1.2}],""duration"":[{""Time"":1,""Value"":10},{""Time"":6,""Value"":10}]}"
catch-melee-healer,Catch,Increase all healing by <healing>2.5</> units per stack for <time>12 seconds</>,catch,
catch-melee-tank,Catch,Increase attack speed by <speed>0.12</> units per stack for <time>12 seconds</>,catch,
catch-movement-d-p-s,Catch,Increase critical hit chance by 7% per stack for <time>12 seconds</>,catch,
catch-movement-tank,Catch,Reflect <damage>17.5% of all damage taken</> per stack while in overheat for <time>12 seconds</>,catch,
catch-ranged-d-p-s,Catch,"Grants Hunter Zenith, which will empower any ability you use in the next 5 seconds.",catch,
catch-ranged-healer,Catch,Increase <damage>damage</>/<healing>healing</> output by 5% to 10% per stack after executing a Clip Change. Effect lasts for <time>12 seconds</>,catch,
catch-spell-healer,Catch,"Every basic attack you launch has a 20% chance to activate Clearcast. When Clearcast is active, Imbue Life has no mana cost or cast time.<break><break>Increase your chance of activating Clearcast by 5% for each stack of Catch.",catch,
catch-spellcaster-d-p-s,Catch,Increase burn duration by <time>0.6 seconds</> per stack and burn damage by <damage>6 units</> per stack for <time>10 seconds</>,catch,
